id,username,password,is_verified,is_banned,created_at,updated_at
1,ltd10,123,0,0,4/7/2023 0:00,4/7/2023 0:00
2,rainmark,123,0,0,4/7/2023 0:00,4/7/2023 0:00
3,aurient_gold,123,0,0,4/7/2023 0:00,4/7/2023 0:00
4,svtech,123,0,0,4/7/2023 0:00,4/7/2023 0:00
5,trieu_dien,123,0,0,4/7/2023 0:00,4/7/2023 0:00
6,dakami_cosmetic,123,0,0,4/7/2023 0:00,4/7/2023 0:00
7,tmv_linhanh,123,0,0,4/7/2023 0:00,4/7/2023 0:00
8,tmdv30shine,123,0,0,4/7/2023 0:00,4/7/2023 0:00
9,vantai_sonhai,123,0,0,4/7/2023 0:00,4/7/2023 0:00
10,kts_fpt,123,0,0,4/7/2023 0:00,4/7/2023 0:00
11,bss_group,123,0,0,4/7/2023 0:00,4/7/2023 0:00
12,onew,123,0,0,4/7/2023 0:00,4/7/2023 0:00
13,ngocha,123,0,0,4/7/2023 0:00,4/7/2023 0:00
14,vanluat,123,0,0,4/7/2023 0:00,4/7/2023 0:00
15,mb_ageas,123,0,0,4/7/2023 0:00,4/7/2023 0:00
16,gree,123,0,0,4/7/2023 0:00,4/7/2023 0:00
17,vikings,123,0,0,4/7/2023 0:00,4/7/2023 0:00
18,kynghe,123,0,0,4/7/2023 0:00,4/7/2023 0:00
19,vcp,123,0,0,4/7/2023 0:00,4/7/2023 0:00
20,dulich,123,0,0,4/7/2023 0:00,4/7/2023 0:00
